task,data_size,merge_sort_seconds,heap_sort_seconds
sort_by_comprehensive_score,100,0.0001185,0.0001847
sort_by_comprehensive_score,500,0.000776,0.0012849
sort_by_comprehensive_score,1000,0.0018141,0.003044
sort_by_comprehensive_score,5000,0.0111117,0.0193317
sort_by_comprehensive_score,9742,0.0261748,0.0432482
