query_type,query,linear_seconds,index_seconds,linear_result_count,index_result_count
title,Toy Story,0.00098,0.0006768,3,3
genre,Comedy,0.0025501,4.3e-06,3756,3756
tag,funny,0.0018137,4.42e-05,25,25
