epoch,loss,residual_rmse,base_residual_rmse,examples,positives,negatives
138,0.075273,0.274357,0.376581,2217222,246358,1970864
139,0.075273,0.274357,0.376581,2217222,246358,1970864
140,0.075273,0.274357,0.376581,2217222,246358,1970864
141,0.075273,0.274357,0.376581,2217222,246358,1970864
142,0.075273,0.274356,0.376581,2217222,246358,1970864
143,0.075273,0.274356,0.376581,2217222,246358,1970864
144,0.075272,0.274356,0.376581,2217222,246358,1970864
145,0.075272,0.274356,0.376581,2217222,246358,1970864
146,0.075272,0.274356,0.376581,2217222,246358,1970864
147,0.075272,0.274355,0.376581,2217222,246358,1970864
148,0.075272,0.274355,0.376581,2217222,246358,1970864
149,0.075272,0.274355,0.376581,2217222,246358,1970864
150,0.075272,0.274355,0.376581,2217222,246358,1970864
151,0.075272,0.274355,0.376581,2217222,246358,1970864
152,0.075272,0.274355,0.376581,2217222,246358,1970864
153,0.075272,0.274354,0.376581,2217222,246358,1970864
154,0.075271,0.274354,0.376581,2217222,246358,1970864
155,0.075271,0.274354,0.376581,2217222,246358,1970864
156,0.075271,0.274354,0.376581,2217222,246358,1970864
157,0.075271,0.274354,0.376581,2217222,246358,1970864
158,0.075271,0.274354,0.376581,2217222,246358,1970864
159,0.075271,0.274353,0.376581,2217222,246358,1970864
160,0.075271,0.274353,0.376581,2217222,246358,1970864
