epoch,loss,positive_rate,examples,positives,negatives
89,0.257859,0.111111,2217222,246358,1970864
90,0.257723,0.111111,2217222,246358,1970864
91,0.257589,0.111111,2217222,246358,1970864
92,0.257457,0.111111,2217222,246358,1970864
93,0.257327,0.111111,2217222,246358,1970864
94,0.257199,0.111111,2217222,246358,1970864
95,0.257073,0.111111,2217222,246358,1970864
96,0.256949,0.111111,2217222,246358,1970864
97,0.256826,0.111111,2217222,246358,1970864
98,0.256706,0.111111,2217222,246358,1970864
99,0.256588,0.111111,2217222,246358,1970864
100,0.256471,0.111111,2217222,246358,1970864
101,0.256356,0.111111,2217222,246358,1970864
102,0.256242,0.111111,2217222,246358,1970864
103,0.25613,0.111111,2217222,246358,1970864
104,0.25602,0.111111,2217222,246358,1970864
105,0.255911,0.111111,2217222,246358,1970864
106,0.255804,0.111111,2217222,246358,1970864
107,0.255698,0.111111,2217222,246358,1970864
108,0.255594,0.111111,2217222,246358,1970864
109,0.25549,0.111111,2217222,246358,1970864
110,0.255389,0.111111,2217222,246358,1970864
111,0.255288,0.111111,2217222,246358,1970864
112,0.255189,0.111111,2217222,246358,1970864
113,0.255091,0.111111,2217222,246358,1970864
114,0.254995,0.111111,2217222,246358,1970864
115,0.254899,0.111111,2217222,246358,1970864
116,0.254805,0.111111,2217222,246358,1970864
117,0.254712,0.111111,2217222,246358,1970864
118,0.25462,0.111111,2217222,246358,1970864
119,0.254529,0.111111,2217222,246358,1970864
120,0.254439,0.111111,2217222,246358,1970864
121,0.25435,0.111111,2217222,246358,1970864
122,0.254263,0.111111,2217222,246358,1970864
123,0.254176,0.111111,2217222,246358,1970864
124,0.25409,0.111111,2217222,246358,1970864
125,0.254005,0.111111,2217222,246358,1970864
126,0.253921,0.111111,2217222,246358,1970864
127,0.253838,0.111111,2217222,246358,1970864
128,0.253756,0.111111,2217222,246358,1970864
129,0.253675,0.111111,2217222,246358,1970864
130,0.253595,0.111111,2217222,246358,1970864
131,0.253515,0.111111,2217222,246358,1970864
132,0.253437,0.111111,2217222,246358,1970864
133,0.253359,0.111111,2217222,246358,1970864
134,0.253282,0.111111,2217222,246358,1970864
135,0.253206,0.111111,2217222,246358,1970864
136,0.25313,0.111111,2217222,246358,1970864
137,0.253056,0.111111,2217222,246358,1970864
138,0.252982,0.111111,2217222,246358,1970864
139,0.252908,0.111111,2217222,246358,1970864
140,0.252836,0.111111,2217222,246358,1970864
141,0.252764,0.111111,2217222,246358,1970864
142,0.252693,0.111111,2217222,246358,1970864
143,0.252623,0.111111,2217222,246358,1970864
144,0.252553,0.111111,2217222,246358,1970864
145,0.252484,0.111111,2217222,246358,1970864
146,0.252416,0.111111,2217222,246358,1970864
147,0.252348,0.111111,2217222,246358,1970864
148,0.252281,0.111111,2217222,246358,1970864
149,0.252214,0.111111,2217222,246358,1970864
150,0.252148,0.111111,2217222,246358,1970864
151,0.252083,0.111111,2217222,246358,1970864
152,0.252018,0.111111,2217222,246358,1970864
153,0.251954,0.111111,2217222,246358,1970864
154,0.251891,0.111111,2217222,246358,1970864
155,0.251828,0.111111,2217222,246358,1970864
156,0.251765,0.111111,2217222,246358,1970864
157,0.251703,0.111111,2217222,246358,1970864
158,0.251642,0.111111,2217222,246358,1970864
159,0.251581,0.111111,2217222,246358,1970864
160,0.251521,0.111111,2217222,246358,1970864
